date,reaction_count,top_react,comment_count,full_content,emojis,hashtags
2024-09-10 14:16:00,256,"Thích, Yêu thích và Haha",13,"BIA 333 PILSNER - VỊ BIA MỚI, ÊM CỰC ÊM Người ta thường nói: “dục tốc bất đạt”. Chính vì thế, để tạo nên tuyệt tác, ta cần những nỗ lực không kể thời gian. Và 333 PILSNER chính là một “tuyệt tác” sau quá trình nghiên cứu công thức, chọn lọc nguyên liệu đầy kỳ công. Với công nghệ ủ lạnh lâu từ Châu Âu cùng những nguyên liệu thượng hạng, tạo nên một vị bia mới êm mượt hơn bao giờ hết! BIA 333 PILSNER - VỊ BIA MỚI, ÊM CỰC ÊM. Bia 333 PILSNER hiện đã có mặt tại các sàn thương mại điện tử, cửa hàng, siêu thị trên toàn quốc. Thử ngay! #333Pilsner #ViBiaMoi #EmCucEm * Người dưới 18 tuổi không được uống rượu bia
* Đã uống rượu bia - Không lái xe",,"['#333Pilsner', '#ViBiaMoi', '#EmCucEm']"
2024-09-08 14:25:00,126,"Thích, Yêu thích và Thương thương",4,"TOÀN CẢNH “ÊM CỰC ÊM"" CÙNG 333 PILSNER x S.T SƠN THẠCH TẠI EMART PHAN VĂN TRỊ VÀO 07/09 VỪA QUA! Bia 333 PILSNER đã đổ bộ Emart Phan Văn Trị & Emart Phan Huy Ích với những trải nghiệm êm cực êm!!! Chỉ cần thao tác tham gia check-in cực đơn giản đã có cơ hội thưởng thức ngay vị bia mới từ 333 PILSNER cùng nhiều quà tặng hấp dẫn khác! Rất nhiều bức ảnh “êm cực êm” được ra đời, đặc biệt sự xuất hiện của S.T Sơn Thạch tại Emart Phan Văn Trị càng làm không khí bùng nổ hơn bao giờ hết! Cùng 333 PILSNER nhìn lại những khoảnh khắc đầy thú vị nha! #333PILSNER #ViBiaMoi #EmCucEm
*Người dưới 18 tuổi không được uống rượu bia
*Đã uống rượu bia - Không lái xe",,"['#333PILSNER', '#ViBiaMoi', '#EmCucEm']"
2024-09-06 19:35:00,2697,"Thích, Yêu thích và Thương thương",96,"DUET CHALLENGE “ÊM CỰC ÊM”: SÁNG TẠO KHOẢNH KHẮC TẬN HƯỞNG 333 PILSNER ĐỂ SĂN QUÀ ĐỈNH! Sân chơi mới toanh nơi các “anh tài”, ”chị đẹp” cùng trổ tài và thưởng thức bia 333 Pilsner êm cực êm theo cách riêng của mình! Anh trai Song Luân, chị đẹp Trang Pháp, chef Huy Trần đã flex nhẹ những cách thưởng thức bia 333 Pilsner Êm Cực Êm. Còn bạn thì sao? Tham gia ngay cùng 333 Pilsner và rinh quà “êm cực êm” chỉ với các bước sau:
👉 Bước 1: Chọn chủ đề mình thích và quay video duet trên nền tảng Tiktok cùng 3 chiến thần Song Luân - Huy Trần - Trang Pháp với 3 chủ đề tương ứng là nhảy - nấu ăn - hát/rap:
✨ Duet nhảy cùng Song Luân tại: https://vt.tiktok.com/ZS2yw62Pd/
✨ Duet nấu ăn cùng Huy Trần tại: https://vt.tiktok.com/ZS2y7vtjk/
✨ Duet hát/rap cùng Trang Pháp tại: https://vt.tiktok.com/ZS2y7VQkK/
Khuyến khích có sử dụng sản phẩm 333 PILSNER.
👉 Bước 2: Đăng tải video duet hoàn chỉnh trên Tiktok cá nhân ở chế độ công khai kèm hashtag #333PILSNER #ViBiaMoi #EmCucEm
👉 Bước 3: Copy link video và bình luận tham gia bên dưới bài đăng này để 333 Pilsner ghi nhận sự tham gia của bạn nhé. 🔥 Loạt giải thưởng dành cho những video “Êm Cực Êm”:
GIẢI TUẦN:
🎁 03 giải tương tác mỗi tuần: mỗi giải bao gồm 3 triệu đồng tiền mặt + 01 thùng bia 333 Pilsner
🎁 33 giải may mắn mỗi tuần: mỗi giải bao gồm 01 thùng bia 333 Pilsner
GIẢI CHUNG CUỘC “ÊM CỰC ÊM”: dành cho 3 video sáng tạo nhất.
📱03 giải Êm Cực Êm: mỗi giải bao gồm 01 iPhone 15 Pro Max + 01 thùng bia 333 Pilsner 📍 Chi tiết thể lệ: https://docs.google.com/document/d/12IE66v_Wpbq-_DA1blR8st9ZcP5BgqrM/edit?usp=sharing&ouid=109194350042153559578&rtpof=true&sd=true
📍 Thời gian tham gia: từ ngày 06/09/2024 đến ngày 27/09/2024
Cơ hội nhận quà dành cho tất cả các bạn, tham gia ngay nhé! #333PILSNER #ViBiaMoi #EmCucEm
* Người dưới 18 tuổi không được uống rượu bia
* Đã uống rượu bia - Không lái xe",👉✨✨✨👉👉🔥🎁🎁📱📍📍,"['#333PILSNER', '#ViBiaMoi', '#EmCucEm', '#333PILSNER', '#ViBiaMoi', '#EmCucEm']"
2024-09-06 11:40:00,102,Thích và Yêu thích,1,"333 PILSNER x S.T SƠN THẠCH: 19H NGÀY 7/9/2024 TẠI EMART PHAN VĂN TRỊ Bạn là fan của 333 hay S.T Sơn Thạch? Bạn đã thử vị bia mới êm cực êm của 333 Pilsner chưa? Thời gian và địa điểm đã quá rõ ràng, đến ngay Emart Phan Văn Trị vào 19h ngày 7.9.2024 để có cơ hội gặp gỡ S.T Sơn Thạch và đón chờ màn biểu diễn êm cực êm của anh ấy nhé. Bên cạnh đó, bạn còn có cơ hội thử vị bia mới êm cực êm 333 Pilsner và nhận quà hấp dẫn chỉ với 2 bước đơn giản sau:
✅ Bước 1: Tạo dáng check-in tại booth 333 PILSNER
✅ Bước 2: Đăng tải ảnh lên facebook ở chế độ công khai, kèm hashtag #333PILSNER #ViBiaMoi #EmCucEm
Lên lịch ngay và đừng bỏ lỡ chương trình này nhé. 📍 Ghim lại địa chỉ cụ thể cho anh em đến tham gia nè:
Emart: 366 Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM #333PILSNER #ViBiaMoi #EmCucEm
* Người dưới 18 tuổi không được uống rượu bia
* Đã uống rượu bia - Không lái xe",📍,"['#333PILSNER', '#ViBiaMoi', '#EmCucEm', '#333PILSNER', '#ViBiaMoi', '#EmCucEm']"
2024-09-06 10:45:00,35,Thích,0,,,
2024-09-06 10:45:00,35,Thích,0,,,
2024-09-06 10:45:00,35,Thích,0,,,
2024-09-06 10:45:00,35,Thích,0,,,
2024-09-06 10:45:00,35,Thích,0,,,
2024-09-06 10:45:00,35,Thích,0,,,
