date,reaction_count,top_react,comment_count,full_content,emojis,hashtags
2024-09-13 19:00:00,175,"Thích, Yêu thích và Buồn",20,"LỘ DIỆN CHỦ NHÂN GIẢI VÀNG - 6 CHỈ VÀNG SẼ VỀ TAY AI? Không để anh em đợi lâu, Bia Saigon Lager xin được công bố “trùm cuối"" của minigame Trăm Phần Trăm Tự Hào ngay bên dưới! Xin được chúc mừng 6 anh em sau đã may mắn sở hữu mỗi người 1 chỉ vàng về tay:
👉 Vy Hà - Bún chả cá Đà Nẵng
👉 Hà Bích - Cà phê Đắk Lắk
👉 Nguyễn Hùng - Thanh long Ninh Thuận
👉 Uyên Ruby - Bánh bó Quảng Ngãi
👉 Mỹ Trần - Gà nướng cơm lam Đắk Lắk
👉 Dung Thuỳ Thuỳ - Bánh bèo chén Phú Yên Cảm ơn tất cả anh em đã cùng đồng hành lan tỏa những đặc sản miền Trung đỉnh cao! Hãy tiếp tục đón chờ những sân chơi thú vị tiếp theo từ Bia Saigon Lager nhé! #BiaSaigon #TramPhanTramTuHao
*Nồng độ cồn 4.3%
*Dưới 18 tuổi không được uống rượu, bia
*Thưởng thức có trách nhiệm",👉👉👉👉👉👉,"['#BiaSaigon', '#TramPhanTramTuHao']"
2024-09-10 10:25:00,614,"Thích, Yêu thích và Thương thương",24,"🎂 SINH NHẬT LẦN THỨ MẤY VẪN THẤY SPECIAL Mừng sinh nhật tuổi đôi mươi cùng những hoài bão lớn.
Hay đón tuổi 30 với những thành tựu mới.
Dù sinh nhật lần thứ mấy, vẫn luôn thật Special. Mừng sinh nhật cùng Bia Saigon Special phiên bản giới hạn mới, để sinh nhật luôn thật Special. #BiaSaigonSpecial #ViSpecialChoDipSpecial #sinhnhatSPECIAL
———
*Đã uống rượu, bia - Không lái xe
*Người dưới 18 tuổi không được uống rượu bia
*Uống rượu, bia có trách nhiệm",🎂,"['#BiaSaigonSpecial', '#ViSpecialChoDipSpecial', '#sinhnhatSPECIAL']"
2024-09-08 18:36:00,477,"Thích, Yêu thích và Thương thương",24,"🏆 CHIẾN THẮNG LẦN THỨ MẤY VẪN THẤY SPECIAL Chiến thắng lần đầu, đầy tự hào.
Chiến thắng những lần sau, khẳng định bản lĩnh.
Mỗi chiến thắng là một dấu ấn riêng. Nâng lon Bia Saigon Special phiên bản giới hạn mới để chiến thắng lần thứ mấy vẫn thấy Special. #BiaSaigonSpecial #ViSpecialChoDipSpecial #chienthangSPECIAL
———
*Đã uống rượu, bia - Không lái xe
*Người dưới 18 tuổi không được uống rượu bia
*Uống rượu, bia có trách nhiệm",🏆,"['#BiaSaigonSpecial', '#ViSpecialChoDipSpecial', '#chienthangSPECIAL']"
2024-09-06 20:24:00,325,"Thích, Yêu thích và Thương thương",17,"🎁 KỶ NIỆM LẦN THỨ MẤY VẪN THẤY SPECIAL Kỷ niệm năm đầu hay nhiều năm sau.
Kỷ niệm cùng gia đình, người yêu hay bạn bè.
Luôn là những cột mốc xứng đáng được ăn mừng thật Special. Ghi dấu kỷ niệm cùng Bia Saigon Special phiên bản giới hạn mới, để kỷ niệm luôn thật Special. #BiaSaigonSpecial #ViSpecialChoDipSpecial #kyniemSPECIAL
———
*Đã uống rượu, bia - Không lái xe
*Người dưới 18 tuổi không được uống rượu bia
*Uống rượu, bia có trách nhiệm",🎁,"['#BiaSaigonSpecial', '#ViSpecialChoDipSpecial', '#kyniemSPECIAL']"
2024-09-04 19:00:00,416,"Thích, Yêu thích và Thương thương",17,"BẮT TRỌN KHOẢNH KHẮC “TRĂM PHẦN TRĂM TỰ HÀO"" CÙNG BIA SAIGON LAGER TẠI CÁC QUÁN MIỀN TRUNG! Tháng 8 vừa qua, Bia Saigon Lager đã đổ bộ các quán miền Trung với những hoạt động vô cùng đặc sắc!!! Hãy cùng nhìn lại những khoảnh khắc phấn khởi của anh em miền Trung khi thưởng thức các món ăn đặc sản và tham gia hoạt động bốc thăm trúng thưởng tại quán. Và đừng quên đón chờ những hoạt động tiếp theo từ Bia Saigon Lager nhé!",,[]
2024-09-01 19:00:00,422,"Thích, Yêu thích và Buồn",5,"BIA SAIGON ĐỒNG HÀNH CÙNG 2 NGÀY 1 ĐÊM TRÊN HÀNH TRÌNH KHÁM PHÁ CHẤT RỒNG VIỆT! Bia Saigon tự hào đồng hành cùng dàn cast chương trình 2 NGÀY 1 ĐÊM trên chặng đường khám phá chất rồng địa phương - những giá trị văn hóa độc đáo và vẻ đẹp khác biệt của từng tỉnh thành trên khắp mảnh đất hình chữ S. Đừng bỏ lỡ những khoảnh khắc thú vị mà Bia Saigon cùng dàn cast sẽ mang lại trong những chuyến hành trình sắp tới nhé! #BiaSaigon #TramPhanTramChatRong #2Ngay1DemMua3 #DatVietVAC #DongTayPromotion © Chương trình “2 Ngày 1 Đêm” thuộc bản quyền của Dong Tay Promotion thuộc DatVietVAC, được khai thác và bảo vệ bản quyền bởi #VieNETWORK",,"['#BiaSaigon', '#TramPhanTramChatRong', '#2Ngay1DemMua3', '#DatVietVAC', '#DongTayPromotion', '#VieNETWORK']"
2024-08-30 19:00:00,147,"Thích, Yêu thích và Thương thương",1,"🐉 TRIỆU CHẤT RỒNG KHÁC BIỆT - TẠO NÊN CHẤT VIỆT NAM 🔥 ✨ Khắp dải đất hình chữ S, mỗi miền đất từ Bắc chí Nam, đều mang trong mình những “chất rồng” riêng biệt. Đó là những nét tính cách độc đáo, những sắc màu văn hoá rực rỡ: 👉 Chất rồng “Sài Gòn không ngủ” để hết mình theo đuổi giấc mơ.
👉 Chất rồng “Miền Tây chơi lớn” với những con người hào sảng, dám nghĩ, dám làm.
👉 Chất rồng “Huế cổ điển” vẫn len lỏi nét chấm phá hiện đại.
👉 Chất rồng “Đắk Lắk nhỏ nhẹ” nói ít làm nhiều qua từng hành động.
👉 Chất rồng “Hà Nội không vội” vì sự sâu sắc và cần mẫn trong từng chi tiết. Và còn vô vàn những chất rồng khác biệt từ 63 tỉnh thành, tất cả góp phần tạo nên Chất rồng Việt Nam! Bia Saigon tự hào đồng hành cùng hàng triệu người dân Việt trong mọi khoảnh khắc tạo nên “Trăm Phần Trăm Chất Rồng""! Chất rồng của địa phương bạn là gì? Bình luận ngay bên dưới cùng Bia Saigon nhé! #BiaSaigon #TramPhanTramChatRong
*Thưởng thức có trách nhiệm",🐉🔥✨👉👉👉👉👉,"['#BiaSaigon', '#TramPhanTramChatRong']"
2024-08-30 19:00:00,376,"Thích, Yêu thích và Haha",29,"🎂 CGV x BSG Special - TRẢI NGHIỆM SINH NHẬT CỰC SPECIAL TRONG RẠP PHIM 🍿 Bạn đã sẵn sàng trải nghiệm một sinh nhật Special đi từ bất ngờ này tới bất ngờ khác để Sinh nhật lần thứ mấy, vẫn thấy Special chưa? Bia Saigon Special x CGV mang đến cơ hội xem phim Special, dành riêng cho các bạn có sinh nhật trong tháng 9 để cùng tận hưởng quà tặng Special có 1-0-2 cực khó… khó lòng chối từ: 🎁 2 VÉ XEM PHIM MIỄN PHÍ
🎁 Quà tặng bí mật chờ bạn bật mí ngay trong rạp phim 🌟 Chỉ với 4 bước tham gia cực kỳ đơn giản:
▪️ Bước 1: Đăng ký thông tin tại https://forms.gle/fZ2WBMEckVpumNTZ8
▪️ Bước 2: BTC sẽ liên hệ với những bạn may mắn
▪️ Bước 3: Nhận vé điện tử có mã QR code mà BTC cung cấp và đến rạp
▪️ Bước 4: Thưởng thức phim và đón chờ trải nghiệm Special ⏰ Thời gian chương trình diễn ra: Từ 30/08 - 29/09 Sinh nhật nào cũng đặc biệt, nhưng lần này sẽ còn đáng nhớ hơn nữa. Đừng bỏ lỡ cơ hội nhận quà tặng hấp dẫn cùng trải nghiệm đón sinh nhật độc đáo ngay tại rạp. 👉 Đăng ký ngay! Xem thêm thông tin chi tiết về chương trình tại https://bit.ly/TnCSinhnhatSpecial *Nếu có thắc mắc về chương trình, inbox ngay Fanpage Bia Saigon hoặc comment dưới bài đăng để được giải đáp. Lưu ý:
*Hoạt động chỉ dành riêng cho các bạn có sinh nhật trong Tháng 9 (theo thông tin trên CCCD)
*Chỉ diễn ra tại 1 số các cụm rạp CGV tại TP.Hồ Chí Minh, Hà Nội
*Chương trình chỉ dành cho các bạn trên 18 tuổi #BiaSaigonSpecial #ViSpecialChoDipSpecial
———
*Đã uống rượu, bia - Không lái xe
*Người dưới 18 tuổi không được uống rượu bia
*Uống rượu, bia có trách nhiệm",🎂🍿🎁🎁🌟👉,"['#BiaSaigonSpecial', '#ViSpecialChoDipSpecial']"
2024-08-29 10:00:00,136,"Thích, Yêu thích và Phẫn nộ",19,"NHỮNG ĐẶC SẢN CUỐI CÙNG CỦA BÀN TIỆC TRĂM PHẦN TRĂM TỰ HÀO ĐÃ LỘ DIỆN! 🎉 Chúc mừng 6 anh em đã bên dưới đã nhận được quà xịn từ Bia Saigon Lager vì những đóng góp chuẩn bài:
- Cơm gà Phú Yên - đóng góp từ VU Thi Lan Anh
- Thịt cừu Ninh Thuận - đóng góp từ Cỏ May Mắn
- Mực khô một nắng Nha Trang - đóng góp từ The Gioi Hoa Binh
- Nem nướng Khánh Hòa - đóng góp từ Gia Bảo Hà Linh và Ngô Vân
- Chả cá Phú Yên - đóng góp từ Tuyết Nguyễn
📌 Danh sách 10 anh em trúng giải may mắn ở bên dưới phần bình luận Những anh em thắng giải vui lòng liên hệ về fanpage Bia Saigon đến hết ngày 05/09/2024 để cung cấp thông tin nhận thưởng nhé! Bàn tiệc TRĂM PHẦN TRĂM TỰ HÀO với những món ăn chiến thắng sẽ xuất hiện tại quán miền Trung cùng với Bia Saigon Lager vị tươi mát, sảng khoái vào ngày ngày 31/08/2024 tại - quán Ngan Giả Cầy, số 36 đường Dã Tượng, phường Vĩnh Hoà, TP Nha Trang. Lưu lại địa điểm để ghé thưởng thức ngay nhé anh em ơi~ 👏 Chuỗi minigame “Trăm Phần Trăm Tự Hào"" đã chính thức kết thúc! Cùng đón chờ những sân chơi thú vị khác từ Bia Saigon Lager trong thời gian tới nhé! #BiaSaigon #TramPhanTramTuHao
*Nồng độ cồn 4.3%
*Dưới 18 tuổi không được uống rượu, bia
*Thưởng thức có trách nhiệm",🎉📌👏,"['#BiaSaigon', '#TramPhanTramTuHao']"
2024-08-26 20:14:00,4055,Thích và Yêu thích,6606,"MINIGAME: SĂN CHẤT RỒNG, NHẬN QUÀ ĐỈNH! Thưởng thức những thước phim đặc sắc từ triệu chất rồng Việt và nhanh tay lẹ mắt chụp lại những biểu tượng rồng để săn quà ngay: 1️⃣ Bước 1: Xem Trăm Phần Trăm “Chất Rồng” tại FPT Play: https://bit.ly/Tram-Phan-Tram-Chat-Rong và chụp màn hình khoảnh khắc bất kỳ có sự xuất hiện của biểu tượng con rồng trong chuỗi 5 phim
👉 Biểu tượng con rồng ở đây bao gồm biểu tượng trong các tác phẩm của nghệ nhân hoặc biểu tượng trên sản phẩm Bia Saigon 2️⃣ Bước 2: Bình luận ảnh chụp màn hình bên dưới bài đăng + số may mắn 👏50 anh em may mắn nhất khi nhanh tay lẹ mắt tham gia sẽ nhận được 50 voucher Got It trị giá 200k! Tham gia ngay! 📍Minigame sẽ kết thúc vào [03/09]
📍Thời gian công bố trúng giải vào ngày [08/09]. Quyết định của BTC sẽ là quyết định cuối cùng. #BiaSaigon #TramPhanTramChatRong
*Thưởng thức có trách nhiệm",👉👏📍📍,"['#BiaSaigon', '#TramPhanTramChatRong']"
