date,reaction_count,top_react,comment_count,full_content,emojis,hashtags
2024-09-11 09:22:00,93,"Thích, Yêu thích và Thương thương",2,"HEINEKEN VIỆT NAM VỮNG TIẾN TRÊN LỘ TRÌNH PHÁT TRIỂN BỀN VỮNG 💚 Trong năm 2023 đầy thách thức, chúng tôi vẫn có những bước tiến vững chắc trên lộ trình Phát triển bền vững ""Vì Một Việt Nam Tốt Đẹp Hơn"". Thông qua các sáng kiến hành động và nỗ lực chung tay cùng các đối tác, HEINEKEN Việt Nam đang tiếp tục hiện thực hóa những tham vọng phát triển bền vững xuyên suốt ba trụ cột chính - Môi trường, Xã hội và Uống có trách nhiệm. Khám phá hành trình Phát triển bền vững trong năm qua của chúng tôi tại đây: https://heineken-vietnam.com.vn/phat-trien-ben-vung/
#HEINEKENVietnam #PhátTriểnBềnVững",💚,"['#HEINEKENVietnam', '#PhátTriểnBềnVững']"
2024-09-09 19:00:00,219,"Thích, Yêu thích và Thương thương",20,"💥 Chương trình Thực tập sinh 2024 (Đợt 2) tại HEINEKEN Việt Nam chính thức mở đơn💥 Bạn đã sẵn sàng khởi đầu hành trình sự nghiệp ý nghĩa cùng HEINEKEN Việt Nam? Chúng tôi đang tìm kiếm những tài năng trẻ gia nhập chương trình Thực tập sinh năm 2024. 🎯 Những Gì Đang Chờ Đón Bạn? 🔹Kinh nghiệm làm việc với các dự án thực tế
🔹Trải nghiệm môi trường làm việc tại một trong những doanh nghiệp FMCG hàng đầu
🔹Cơ hội phát triển bản thân và bứt phá sự nghiệp 📩 Ứng tuyển ngay tại https://www.careers-page.com/heineken-vietnam
Tìm hiểu thêm về các vị trí và mô tả công việc: https://bit.ly/3MBJxzF
#DoSomethingThatMatters #HEINEKENVietnam #Internship2024 #FutureLeaders",💥💥🎯🔹🔹🔹📩,"['#DoSomethingThatMatters', '#HEINEKENVietnam', '#Internship2024', '#FutureLeaders']"
2024-09-02 14:00:00,117,"Thích, Yêu thích và Haha",2,"Có Heineken 0.0, vui lễ 0 lo ✨ #HeinekenVietnam #Heineken00",,"['#HeinekenVietnam', '#Heineken00']"
2024-08-21 17:25:00,126,"Thích, Yêu thích và Haha",9,Strongbow Sparkling rất demure rất cutesy 💖#HEINEKENVietnam,💖,[]
2024-08-05 14:39:00,241,"Thích, Yêu thích và Wow",4,"HEINEKEN VIỆT NAM CHÀO ĐÓN TỔNG GIÁM ĐỐC ĐIỀU HÀNH MỚI HEINEKEN Việt Nam hôm nay chào đón ông Wietse Mutters vào vị trí Tổng Giám đốc Điều hành. Với kinh nghiệm đa dạng qua nhiều vai trò, vị trí và thị trường, ông Wietse Mutters sẽ tiếp tục dẫn dắt HEINEKEN Việt Nam trên hành trình phát triển phía trước. Ông Wietse Mutter mong chờ được làm việc cùng với nhân viên và đội ngũ của mình, các đối tác, khách hàng và cộng đồng địa phương để tiếp tục tạo ra những giá trị chung, sự thịnh vượng và phát triển cho tất cả các bên liên quan. #HeinekenVietnam",,['#HeinekenVietnam']
2024-08-02 10:22:00,2059,"Thích, Yêu thích và Haha",10,"Với Phạm Thiên Phú, điều quan trọng khi quản lý một nhãn hiệu bia là kết nối sâu sắc với người tiêu dùng 🍻 Nhân ngày Quốc tế bia, hãy cùng khám phá hành trình của Phú với Larue, một nhãn hiệu bia có tuổi đời hơn một thế kỷ nhé 💛💙 #Larue #DoSomethingThatMatters #HEINEKENVietnam #LifeAtHEINEKENVietnam",🍻💛💙,"['#Larue', '#DoSomethingThatMatters', '#HEINEKENVietnam', '#LifeAtHEINEKENVietnam']"
2024-08-01 15:26:00,63,"Thích, Yêu thích và Wow",1,"Cùng đón xem video một ngày làm việc của Phạm Thiên Phú, Quản lý Nhãn hiệu bia Bia Larue vào ngày mai nhé 🤩#HEINEKENVietnam #Larue #DoSomethingThatMatters #LifeAtHeinekenVietnam",🤩,"['#Larue', '#DoSomethingThatMatters', '#LifeAtHeinekenVietnam']"
2024-07-31 15:29:00,47,"Thích, Yêu thích và Thương thương",2,"Ước biết được các tips thú vị này sớm hơn 🤣
#HeinekenVietnam #LifeAtHeinekenVietnam #DoSomethingThatMatters",🤣,"['#HeinekenVietnam', '#LifeAtHeinekenVietnam', '#DoSomethingThatMatters']"
2024-07-29 13:29:00,3887,"Thích, Yêu thích và Haha",7,Top những hoạt động được thực tập sinh yêu thích tại HEINEKEN Việt Nam 💚 Top 1: 👇 #brewerytour #HeinekenVietnam #lifeatheinekenvietnam #dosomethingthatmatters,💚👇,"['#brewerytour', '#HeinekenVietnam', '#lifeatheinekenvietnam', '#dosomethingthatmatters']"
2024-07-24 19:17:00,396,"Thích, Yêu thích và Haha",6,Học Khoa học Dữ liệu đi làm Thực tập sinh Phát triển Ứng dụng tại công ty bia là trải nghiệm như thế nào? Cùng Hà Gia Hiến khám phá nhé 🥰 #LifeatHeinekenVietnam #HeinekenVietnam #DoSomethingThatMatters,🥰,"['#LifeatHeinekenVietnam', '#HeinekenVietnam', '#DoSomethingThatMatters']"
